DeviceName	Стенд N 2
LTime	612,232771
KevPerCh	
NullEnCh	
	
Channel	Counts
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	1
63	1
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	1
77	0
78	1
79	0
80	3
81	1
82	0
83	4
84	5
85	7
86	19
87	30
88	38
89	68
90	86
91	100
92	122
93	154
94	198
95	235
96	268
97	328
98	371
99	370
100	473
101	518
102	568
103	672
104	742
105	697
106	735
107	677
108	631
109	535
110	449
111	343
112	261
113	243
114	259
115	246
116	223
117	281
118	358
119	411
120	550
121	612
122	768
123	994
124	1240
125	1384
126	1881
127	2258
128	2647
129	3109
130	3438
131	3798
132	3859
133	3911
134	3762
135	3287
136	2922
137	2474
138	1923
139	1458
140	1043
141	760
142	575
143	432
144	327
145	243
146	213
147	168
148	190
149	206
150	204
151	198
152	192
153	223
154	199
155	213
156	204
157	217
158	225
159	213
160	217
161	213
162	217
163	215
164	219
165	244
166	221
167	233
168	225
169	230
170	239
171	211
172	222
173	206
174	213
175	242
176	224
177	209
178	200
179	211
180	204
181	211
182	218
183	205
184	217
185	208
186	183
187	193
188	191
189	190
190	181
191	183
192	171
193	160
194	141
195	160
196	163
197	149
198	152
199	158
200	129
201	158
202	155
203	175
204	133
205	170
206	155
207	133
208	177
209	117
210	153
211	143
212	164
213	142
214	127
215	152
216	131
217	137
218	117
219	146
220	126
221	119
222	115
223	128
224	132
225	133
226	126
227	109
228	116
229	121
230	104
231	132
232	128
233	110
234	123
235	118
236	119
237	138
238	121
239	91
240	101
241	85
242	101
243	85
244	105
245	86
246	82
247	87
248	90
249	110
250	105
251	102
252	100
253	68
254	89
255	85
256	91
257	79
258	72
259	82
260	78
261	73
262	84
263	82
264	83
265	79
266	68
267	85
268	89
269	83
270	76
271	64
272	76
273	71
274	63
275	63
276	67
277	71
278	54
279	71
280	54
281	66
282	51
283	47
284	49
285	63
286	59
287	49
288	62
289	64
290	56
291	51
292	64
293	48
294	56
295	53
296	49
297	43
298	57
299	46
300	55
301	29
302	47
303	47
304	55
305	32
306	46
307	41
308	40
309	39
310	39
311	48
312	40
313	42
314	44
315	50
316	48
317	39
318	53
319	39
320	49
321	47
322	36
323	44
324	37
325	45
326	31
327	37
328	28
329	30
330	35
331	33
332	54
333	47
334	39
335	38
336	35
337	51
338	44
339	52
340	38
341	37
342	32
343	31
344	47
345	35
346	28
347	30
348	34
349	31
350	39
351	31
352	31
353	28
354	42
355	33
356	35
357	24
358	34
359	35
360	33
361	32
362	26
363	34
364	29
365	30
366	23
367	22
368	22
369	30
370	20
371	15
372	20
373	19
374	16
375	18
376	26
377	22
378	34
379	25
380	20
381	22
382	22
383	16
384	30
385	20
386	21
387	16
388	16
389	22
390	20
391	13
392	21
393	21
394	12
395	26
396	22
397	32
398	19
399	25
400	21
401	26
402	13
403	19
404	20
405	18
406	11
407	15
408	20
409	19
410	22
411	17
412	14
413	17
414	20
415	16
416	22
417	23
418	19
419	15
420	18
421	14
422	16
423	19
424	14
425	20
426	13
427	24
428	19
429	16
430	19
431	16
432	15
433	15
434	15
435	21
436	13
437	12
438	8
439	12
440	20
441	18
442	7
443	14
444	15
445	12
446	10
447	19
448	14
449	17
450	17
451	21
452	18
453	15
454	18
455	14
456	14
457	20
458	26
459	18
460	19
461	19
462	21
463	16
464	19
465	18
466	21
467	20
468	15
469	21
470	21
471	14
472	25
473	20
474	17
475	21
476	20
477	15
478	17
479	12
480	21
481	16
482	20
483	19
484	13
485	15
486	14
487	15
488	18
489	13
490	11
491	12
492	14
493	17
494	9
495	10
496	12
497	16
498	15
499	16
500	9
501	16
502	12
503	11
504	10
505	11
506	6
507	16
508	6
509	6
510	13
511	6
512	4
513	7
514	5
515	8
516	17
517	13
518	13
519	8
520	14
521	9
522	11
523	14
524	14
525	8
526	6
527	8
528	11
529	15
530	11
531	11
532	12
533	12
534	12
535	9
536	6
537	10
538	11
539	14
540	9
541	16
542	17
543	12
544	9
545	10
546	6
547	10
548	15
549	5
550	15
551	15
552	13
553	14
554	9
555	14
556	13
557	9
558	11
559	9
560	15
561	11
562	10
563	7
564	15
565	9
566	12
567	10
568	10
569	10
570	15
571	4
572	16
573	18
574	14
575	8
576	16
577	6
578	9
579	12
580	12
581	13
582	13
583	11
584	12
585	11
586	9
587	13
588	17
589	19
590	5
591	10
592	7
593	15
594	8
595	11
596	11
597	8
598	4
599	12
600	11
601	8
602	10
603	5
604	10
605	12
606	12
607	5
608	5
609	9
610	6
611	7
612	4
613	9
614	5
615	4
616	8
617	6
618	14
619	10
620	8
621	4
622	9
623	9
624	5
625	10
626	2
627	7
628	5
629	6
630	3
631	5
632	9
633	2
634	10
635	1
636	7
637	9
638	5
639	5
640	6
641	5
642	8
643	6
644	3
645	1
646	7
647	6
648	7
649	7
650	3
651	3
652	7
653	4
654	6
655	6
656	9
657	6
658	9
659	5
660	5
661	8
662	5
663	4
664	9
665	4
666	8
667	9
668	3
669	5
670	5
671	5
672	5
673	3
674	5
675	4
676	6
677	3
678	3
679	1
680	4
681	5
682	5
683	7
684	5
685	4
686	1
687	6
688	8
689	3
690	6
691	7
692	5
693	4
694	6
695	7
696	6
697	4
698	3
699	5
700	6
701	5
702	6
703	6
704	4
705	5
706	8
707	3
708	5
709	9
710	3
711	9
712	1
713	8
714	8
715	8
716	6
717	2
718	11
719	5
720	5
721	2
722	1
723	4
724	5
725	8
726	5
727	6
728	3
729	4
730	6
731	6
732	4
733	7
734	4
735	5
736	2
737	3
738	2
739	2
740	2
741	4
742	7
743	8
744	6
745	5
746	6
747	5
748	8
749	6
750	8
751	4
752	5
753	2
754	7
755	4
756	6
757	3
758	4
759	2
760	4
761	3
762	5
763	4
764	6
765	4
766	2
767	2
768	5
769	7
770	7
771	0
772	7
773	4
774	3
775	4
776	2
777	6
778	4
779	7
780	7
781	5
782	9
783	5
784	4
785	5
786	7
787	6
788	4
789	4
790	8
791	8
792	4
793	7
794	3
795	4
796	4
797	4
798	6
799	3
800	3
801	10
802	1
803	3
804	6
805	3
806	6
807	7
808	4
809	7
810	3
811	4
812	5
813	3
814	5
815	1
816	4
817	8
818	10
819	1
820	8
821	6
822	5
823	5
824	4
825	4
826	3
827	5
828	4
829	2
830	4
831	6
832	5
833	6
834	4
835	5
836	3
837	5
838	4
839	2
840	2
841	3
842	9
843	3
844	5
845	2
846	1
847	2
848	5
849	6
850	5
851	6
852	5
853	2
854	5
855	5
856	4
857	6
858	3
859	3
860	4
861	2
862	3
863	1
864	1
865	3
866	4
867	2
868	2
869	0
870	2
871	0
872	2
873	3
874	5
875	1
876	3
877	4
878	4
879	2
880	5
881	3
882	4
883	2
884	3
885	3
886	0
887	1
888	1
889	1
890	4
891	2
892	3
893	1
894	4
895	3
896	6
897	4
898	2
899	5
900	6
901	5
902	6
903	1
904	5
905	3
906	1
907	6
908	4
909	4
910	2
911	6
912	2
913	5
914	3
915	2
916	2
917	9
918	4
919	2
920	3
921	1
922	3
923	1
924	8
925	5
926	2
927	2
928	2
929	3
930	4
931	2
932	0
933	5
934	4
935	6
936	2
937	2
938	0
939	1
940	5
941	2
942	0
943	4
944	5
945	3
946	3
947	5
948	2
949	4
950	3
951	1
952	2
953	5
954	2
955	5
956	2
957	4
958	5
959	2
960	4
961	4
962	6
963	6
964	4
965	2
966	3
967	4
968	5
969	4
970	1
971	5
972	6
973	5
974	4
975	5
976	4
977	3
978	5
979	6
980	1
981	3
982	6
983	1
984	3
985	3
986	3
987	3
988	3
989	3
990	6
991	9
992	1
993	4
994	5
995	1
996	2
997	8
998	0
999	3
1000	3
1001	3
1002	4
1003	10
1004	3
1005	0
1006	3
1007	2
1008	4
1009	3
1010	4
1011	3
1012	0
1013	2
1014	4
1015	3
1016	2
1017	2
1018	2
1019	2
1020	0
1021	3
1022	0
1023	1
1024	1
1025	0
1026	0
1027	0
1028	2
1029	5
1030	1
1031	2
1032	2
1033	0
1034	2
1035	4
1036	0
1037	3
1038	1
1039	1
1040	1
1041	2
1042	1
1043	2
1044	4
1045	2
1046	3
1047	0
1048	2
1049	0
1050	1
1051	2
1052	1
1053	2
1054	1
1055	1
1056	1
1057	2
1058	5
1059	0
1060	3
1061	3
1062	1
1063	2
1064	2
1065	0
1066	1
1067	3
1068	3
1069	1
1070	3
1071	2
1072	1
1073	1
1074	0
1075	2
1076	2
1077	1
1078	2
1079	2
1080	4
1081	0
1082	4
1083	4
1084	2
1085	3
1086	1
1087	0
1088	2
1089	4
1090	2
1091	4
1092	4
1093	1
1094	3
1095	4
1096	0
1097	3
1098	3
1099	3
1100	5
1101	4
1102	3
1103	1
1104	3
1105	1
1106	0
1107	1
1108	4
1109	1
1110	3
1111	2
1112	2
1113	2
1114	1
1115	1
1116	1
1117	4
1118	0
1119	2
1120	1
1121	0
1122	4
1123	0
1124	1
1125	1
1126	1
1127	1
1128	1
1129	1
1130	1
1131	2
1132	3
1133	2
1134	3
1135	2
1136	2
1137	2
1138	2
1139	1
1140	1
1141	2
1142	2
1143	0
1144	1
1145	1
1146	2
1147	1
1148	7
1149	4
1150	1
1151	1
1152	1
1153	2
1154	2
1155	3
1156	1
1157	0
1158	0
1159	0
1160	0
1161	2
1162	2
1163	0
1164	0
1165	2
1166	0
1167	5
1168	0
1169	5
1170	2
1171	2
1172	1
1173	4
1174	2
1175	2
1176	2
1177	2
1178	1
1179	1
1180	4
1181	0
1182	0
1183	3
1184	0
1185	0
1186	0
1187	1
1188	1
1189	0
1190	1
1191	4
1192	0
1193	1
1194	0
1195	2
1196	1
1197	2
1198	3
1199	2
1200	3
1201	1
1202	2
1203	2
1204	0
1205	4
1206	0
1207	0
1208	0
1209	2
1210	1
1211	1
1212	3
1213	1
1214	1
1215	1
1216	3
1217	1
1218	0
1219	3
1220	1
1221	0
1222	2
1223	0
1224	1
1225	0
1226	2
1227	1
1228	0
1229	1
1230	0
1231	2
1232	0
1233	0
1234	1
1235	0
1236	0
1237	1
1238	0
1239	0
1240	0
1241	0
1242	0
1243	0
1244	2
1245	0
1246	0
1247	0
1248	0
1249	1
1250	0
1251	0
1252	1
1253	0
1254	1
1255	0
1256	0
1257	1
1258	1
1259	1
1260	0
1261	0
1262	0
1263	1
1264	0
1265	0
1266	0
1267	0
1268	0
1269	0
1270	2
1271	0
1272	1
1273	0
1274	1
1275	0
1276	0
1277	1
1278	0
1279	0
1280	0
1281	1
1282	0
1283	0
1284	1
1285	0
1286	0
1287	0
1288	0
1289	0
1290	0
1291	0
1292	2
1293	1
1294	0
1295	1
1296	0
1297	0
1298	0
1299	0
1300	2
1301	0
1302	0
1303	0
1304	1
1305	1
1306	0
1307	0
1308	0
1309	0
1310	1
1311	0
1312	0
1313	0
1314	0
1315	0
1316	1
1317	0
1318	0
1319	0
1320	1
1321	0
1322	0
1323	2
1324	0
1325	0
1326	0
1327	0
1328	0
1329	0
1330	2
1331	0
1332	1
1333	0
1334	0
1335	0
1336	0
1337	0
1338	0
1339	1
1340	0
1341	0
1342	0
1343	0
1344	0
1345	0
1346	0
1347	2
1348	1
1349	0
1350	1
1351	0
1352	0
1353	0
1354	1
1355	0
1356	0
1357	0
1358	0
1359	0
1360	0
1361	0
1362	1
1363	0
1364	0
1365	1
1366	0
1367	0
1368	0
1369	1
1370	0
1371	1
1372	0
1373	0
1374	0
1375	0
1376	0
1377	0
1378	0
1379	0
1380	0
1381	0
1382	0
1383	0
1384	0
1385	1
1386	0
1387	0
1388	0
1389	0
1390	0
1391	0
1392	1
1393	0
1394	0
1395	0
1396	0
1397	0
1398	0
1399	0
1400	0
1401	0
1402	0
1403	0
1404	1
1405	0
1406	0
1407	0
1408	1
1409	0
1410	1
1411	0
1412	0
1413	0
1414	0
1415	0
1416	1
1417	0
1418	0
1419	1
1420	0
1421	1
1422	0
1423	0
1424	1
1425	0
1426	1
1427	1
1428	0
1429	1
1430	0
1431	0
1432	2
1433	2
1434	0
1435	1
1436	0
1437	0
1438	2
1439	0
1440	0
1441	0
1442	1
1443	0
1444	1
1445	0
1446	1
1447	0
1448	0
1449	0
1450	1
1451	1
1452	0
1453	0
1454	1
1455	1
1456	0
1457	0
1458	0
1459	1
1460	0
1461	0
1462	0
1463	0
1464	0
1465	0
1466	0
1467	0
1468	0
1469	0
1470	0
1471	0
1472	0
1473	1
1474	2
1475	0
1476	0
1477	0
1478	0
1479	0
1480	0
1481	0
1482	0
1483	0
1484	0
1485	0
1486	1
1487	0
1488	1
1489	0
1490	0
1491	0
1492	0
1493	0
1494	0
1495	0
1496	1
1497	0
1498	0
1499	1
1500	0
1501	0
1502	1
1503	0
1504	0
1505	0
1506	0
1507	0
1508	0
1509	0
1510	0
1511	0
1512	0
1513	0
1514	0
1515	1
1516	0
1517	0
1518	0
1519	0
1520	0
1521	0
1522	0
1523	2
1524	0
1525	0
1526	0
1527	0
1528	0
1529	0
1530	0
1531	1
1532	2
1533	1
1534	0
1535	1
1536	0
1537	0
1538	0
1539	0
1540	0
1541	0
1542	0
1543	0
1544	1
1545	0
1546	0
1547	0
1548	0
1549	0
1550	0
1551	0
1552	0
1553	0
1554	0
1555	0
1556	0
1557	0
1558	0
1559	0
1560	0
1561	0
1562	0
1563	2
1564	0
1565	0
1566	0
1567	0
1568	1
1569	1
1570	0
1571	1
1572	0
1573	0
1574	0
1575	0
1576	0
1577	1
1578	0
1579	0
1580	0
1581	0
1582	0
1583	1
1584	0
1585	0
1586	0
