DeviceName	Стенд N 2
LTime	648,626246
KevPerCh	
NullEnCh	
	
Channel	Counts
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	1
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	9
84	9
85	9
86	19
87	13
88	18
89	18
90	14
91	22
92	25
93	31
94	33
95	37
96	36
97	39
98	37
99	40
100	29
101	43
102	54
103	43
104	65
105	56
106	55
107	62
108	64
109	49
110	59
111	63
112	64
113	62
114	51
115	71
116	54
117	73
118	56
119	64
120	87
121	66
122	80
123	90
124	97
125	105
126	81
127	99
128	96
129	122
130	132
131	138
132	150
133	138
134	158
135	154
136	142
137	162
138	186
139	170
140	187
141	183
142	175
143	170
144	177
145	172
146	197
147	189
148	189
149	216
150	206
151	214
152	244
153	229
154	207
155	208
156	211
157	252
158	214
159	212
160	228
161	231
162	222
163	241
164	218
165	234
166	205
167	222
168	228
169	185
170	205
171	200
172	242
173	229
174	216
175	200
176	249
177	187
178	187
179	229
180	218
181	206
182	203
183	208
184	198
185	212
186	203
187	195
188	177
189	180
190	175
191	174
192	174
193	183
194	160
195	171
196	176
197	178
198	153
199	171
200	158
201	148
202	160
203	135
204	147
205	140
206	140
207	129
208	143
209	149
210	127
211	142
212	134
213	149
214	154
215	135
216	152
217	145
218	138
219	143
220	106
221	115
222	123
223	129
224	132
225	121
226	119
227	129
228	112
229	115
230	96
231	105
232	97
233	135
234	104
235	89
236	102
237	103
238	95
239	117
240	85
241	104
242	80
243	96
244	103
245	96
246	85
247	80
248	78
249	88
250	89
251	96
252	93
253	103
254	80
255	84
256	86
257	87
258	93
259	102
260	94
261	78
262	85
263	76
264	79
265	87
266	77
267	79
268	68
269	64
270	65
271	66
272	55
273	66
274	73
275	60
276	71
277	58
278	51
279	54
280	61
281	52
282	40
283	75
284	61
285	60
286	57
287	46
288	50
289	56
290	54
291	55
292	58
293	49
294	30
295	41
296	45
297	46
298	52
299	51
300	51
301	44
302	42
303	37
304	41
305	42
306	34
307	59
308	34
309	36
310	34
311	44
312	48
313	46
314	31
315	42
316	42
317	36
318	46
319	37
320	44
321	34
322	41
323	34
324	42
325	47
326	40
327	34
328	48
329	40
330	29
331	37
332	38
333	44
334	34
335	29
336	35
337	46
338	46
339	41
340	31
341	38
342	41
343	35
344	41
345	48
346	28
347	47
348	28
349	35
350	28
351	29
352	28
353	27
354	27
355	16
356	31
357	21
358	25
359	21
360	21
361	19
362	18
363	32
364	22
365	30
366	31
367	27
368	20
369	19
370	20
371	16
372	13
373	18
374	22
375	15
376	31
377	20
378	21
379	16
380	24
381	13
382	18
383	12
384	15
385	17
386	28
387	24
388	24
389	15
390	23
391	17
392	20
393	14
394	24
395	17
396	18
397	19
398	16
399	20
400	20
401	22
402	19
