DeviceName	Стенд N 2
LTime	648,342336
KevPerCh	
NullEnCh	
	
Channel	Counts
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	1
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	1
44	0
45	0
46	0
47	0
48	0
49	0
50	1
51	1
52	0
53	1
54	0
55	0
56	0
57	0
58	0
59	1
60	1
61	1
62	0
63	0
64	1
65	1
66	0
67	1
68	0
69	0
70	1
71	1
72	1
73	1
74	2
75	1
76	0
77	0
78	1
79	1
80	0
81	4
82	3
83	4
84	12
85	13
86	16
87	26
88	33
89	61
90	49
91	72
92	71
93	101
94	103
95	118
96	120
97	122
98	128
99	148
100	143
101	148
102	164
103	149
104	163
105	181
106	159
107	170
108	164
109	176
110	175
111	167
112	199
113	172
114	184
115	195
116	188
117	202
118	209
119	188
120	198
121	180
122	184
123	193
124	218
125	190
126	241
127	200
128	246
129	253
130	233
131	239
132	220
133	262
134	230
135	252
136	271
137	282
138	277
139	250
140	279
141	305
142	290
143	309
144	327
145	305
146	290
147	313
148	340
149	314
150	320
151	308
152	312
153	337
154	341
155	346
156	351
157	324
158	351
159	340
160	329
161	333
162	365
163	324
164	377
165	323
166	318
167	380
168	354
169	338
170	380
171	369
172	365
173	362
174	328
175	362
176	371
177	398
178	367
179	360
180	310
181	376
182	340
183	341
184	355
185	352
186	350
187	356
188	349
189	369
190	338
191	329
192	319
193	312
194	314
195	289
196	342
197	319
198	328
199	299
200	294
201	332
202	303
203	286
204	309
205	295
206	303
207	333
208	291
209	274
210	268
211	296
212	310
213	306
214	306
215	296
216	273
217	264
218	255
219	297
220	270
221	282
222	281
223	279
224	281
225	261
226	261
227	253
228	273
229	265
230	237
231	275
232	288
233	266
234	290
235	288
236	285
237	291
238	280
239	288
240	290
241	263
242	257
243	296
244	277
245	321
246	308
247	314
248	299
249	316
250	329
251	298
252	303
253	320
254	338
255	305
256	335
257	345
258	293
259	339
260	342
261	331
262	310
263	275
264	334
265	306
266	301
267	309
268	341
269	326
270	308
271	302
272	287
273	301
274	298
275	265
276	260
277	263
278	275
279	254
280	276
281	223
282	260
283	254
284	245
285	220
286	230
287	224
288	238
289	212
290	231
291	235
292	210
293	215
294	209
295	196
296	190
297	189
298	214
299	182
300	200
301	187
302	200
303	201
304	226
305	208
306	204
307	179
308	168
309	190
310	196
311	201
312	158
313	163
314	190
315	186
316	170
317	187
318	145
319	193
320	180
321	148
322	152
323	184
324	184
325	151
326	146
327	168
328	133
329	163
330	137
331	155
332	160
333	139
334	145
335	155
336	134
337	172
338	143
339	147
340	143
341	140
342	148
343	137
344	139
345	155
346	172
347	152
348	138
349	121
350	136
351	123
352	126
353	114
354	128
355	117
356	139
357	114
358	123
359	114
360	141
361	134
362	114
363	113
364	121
365	125
366	126
367	123
368	116
369	123
370	105
371	104
372	94
373	117
374	109
375	121
376	83
377	99
378	106
379	103
380	108
381	106
382	114
383	130
384	107
385	105
386	76
387	110
388	102
389	136
390	113
391	94
392	101
393	114
394	113
395	95
396	86
397	103
398	75
399	102
400	106
401	103
402	99
403	114
404	101
405	105
406	84
407	98
408	126
409	107
410	81
411	106
412	88
413	114
414	86
415	99
416	86
417	112
418	105
419	99
420	101
421	112
422	95
423	101
424	74
425	87
426	90
427	78
428	88
429	122
430	92
431	86
432	79
433	76
434	79
435	106
436	102
437	97
438	98
439	80
440	95
441	74
442	76
443	96
444	94
445	88
446	91
447	107
448	73
449	75
450	83
451	78
452	108
453	96
454	97
455	87
456	95
457	85
458	83
459	87
460	108
461	107
462	88
463	101
464	102
465	90
466	93
467	70
468	105
469	89
470	98
471	91
472	85
473	94
474	82
475	86
476	84
477	100
478	91
479	102
480	79
481	88
482	91
483	101
484	75
485	91
486	90
487	101
488	78
489	80
490	93
491	92
492	74
493	91
494	76
495	88
496	75
497	84
498	88
499	84
500	91
501	87
502	75
503	79
504	82
505	71
506	75
507	78
508	94
509	104
510	103
511	90
512	79
513	98
514	95
515	89
516	95
517	77
518	93
519	86
520	69
521	73
522	86
523	70
524	63
525	78
526	79
527	78
528	66
529	84
530	61
531	64
532	76
533	93
534	92
535	85
536	81
537	77
538	88
539	72
540	80
541	99
542	77
543	68
544	82
545	81
546	92
547	87
548	81
549	84
550	82
551	66
552	80
553	90
554	71
555	69
556	83
557	84
558	86
559	79
560	85
561	76
562	79
563	73
564	78
565	90
566	65
567	79
568	74
569	80
570	78
571	84
572	79
573	86
574	76
575	73
576	88
577	69
578	90
579	80
580	78
581	83
582	70
583	90
584	71
585	85
586	80
587	85
588	86
589	78
590	78
591	104
592	76
593	80
594	80
595	72
596	93
597	76
598	67
599	74
600	97
601	73
602	98
603	85
604	76
605	80
606	78
607	84
608	70
609	60
610	71
611	83
612	77
613	75
614	84
615	71
616	79
617	81
618	74
619	91
620	95
621	90
622	74
623	78
624	92
625	68
626	76
627	74
628	79
629	76
630	79
631	82
632	72
633	83
634	75
635	73
636	81
637	78
638	71
639	76
640	65
641	84
642	86
643	64
644	76
645	90
646	96
647	67
648	84
649	72
650	63
651	70
652	67
653	66
654	83
655	79
656	75
657	70
658	91
659	84
660	93
661	83
662	83
663	77
664	85
665	75
666	67
667	87
668	84
669	82
670	67
671	86
672	57
673	79
674	88
675	71
676	90
677	85
678	88
679	78
680	79
681	90
682	95
683	108
684	80
685	93
686	74
687	82
688	84
689	74
690	81
691	74
692	89
693	98
694	89
695	90
696	73
697	80
698	88
699	89
700	86
701	93
702	90
703	108
704	99
705	80
706	86
707	92
708	83
709	73
710	72
711	88
712	95
713	106
714	97
715	86
716	94
717	91
718	98
719	101
720	82
721	100
722	76
723	77
724	84
725	75
726	87
727	96
728	87
729	93
730	94
731	105
732	99
733	92
734	74
735	72
736	83
737	101
738	79
739	85
740	84
741	80
742	94
743	90
744	79
745	108
746	96
747	85
748	99
749	110
750	92
751	79
752	92
753	85
754	90
755	95
756	72
757	103
758	91
759	107
760	104
761	96
762	106
763	74
764	80
765	100
766	92
767	106
768	96
769	86
770	102
771	90
772	98
773	107
774	82
775	71
776	101
777	101
778	103
779	97
780	105
781	94
782	75
783	90
784	99
785	87
786	78
787	111
788	88
789	88
790	98
791	90
792	85
793	85
794	78
795	92
796	71
797	84
798	81
799	90
800	89
801	82
802	80
803	80
804	80
805	76
806	76
807	69
808	75
809	75
810	65
811	67
812	68
813	77
814	72
815	84
816	70
817	66
818	61
819	62
820	75
821	61
822	60
823	47
824	58
825	70
826	54
827	64
828	55
829	61
830	66
831	66
832	69
833	59
834	50
835	59
836	69
837	52
838	58
839	55
840	68
841	62
842	65
843	56
844	70
845	77
846	54
847	53
848	53
849	53
850	60
851	56
852	59
853	63
854	72
855	50
856	55
857	50
858	58
859	47
860	48
861	66
862	73
863	50
864	55
865	55
866	56
867	52
868	58
869	59
870	60
871	47
872	43
873	50
874	47
875	61
876	62
877	46
878	69
879	42
880	53
881	47
882	48
883	64
884	60
885	51
886	53
887	48
888	49
889	55
890	39
891	52
892	53
893	48
894	47
895	51
896	42
897	38
898	48
899	42
900	61
901	55
902	49
903	43
904	46
905	46
906	57
907	35
908	33
909	49
910	54
911	49
912	48
913	36
914	37
915	38
916	48
917	43
918	39
919	53
920	47
921	46
922	45
923	37
924	44
925	53
926	36
927	66
928	52
929	52
930	48
931	60
932	63
933	71
934	59
935	51
936	68
937	70
938	73
939	71
940	69
941	67
942	65
943	71
944	75
945	85
946	82
947	84
948	82
949	95
950	88
951	92
952	97
953	99
954	108
955	121
956	124
957	114
958	136
959	110
960	137
961	125
962	133
963	126
964	140
965	144
966	133
967	122
968	117
969	161
970	149
971	140
972	155
973	131
974	135
975	146
976	136
977	130
978	142
979	133
980	120
981	129
982	123
983	125
984	121
985	126
986	129
987	141
988	125
989	136
990	110
991	110
992	121
993	114
994	108
995	88
996	115
997	92
998	95
999	99
1000	79
1001	90
1002	85
1003	77
1004	72
1005	86
1006	79
1007	62
1008	62
1009	54
1010	44
1011	64
1012	51
1013	48
1014	43
1015	38
1016	46
1017	41
1018	31
1019	28
1020	33
1021	25
1022	27
1023	30
1024	22
1025	36
1026	35
1027	30
1028	26
1029	19
1030	20
1031	16
1032	13
1033	13
1034	20
1035	18
1036	21
1037	18
1038	24
1039	17
1040	27
1041	18
1042	19
1043	24
1044	15
1045	18
1046	26
1047	17
1048	18
1049	26
1050	22
1051	34
1052	24
1053	28
1054	35
1055	36
1056	35
1057	32
1058	38
1059	38
1060	36
1061	37
1062	48
1063	34
1064	46
1065	57
1066	54
1067	56
1068	58
1069	58
1070	64
1071	66
1072	53
1073	70
1074	84
1075	79
1076	63
1077	80
1078	60
1079	86
1080	97
1081	95
1082	70
1083	109
1084	106
1085	87
1086	100
1087	89
1088	80
1089	101
1090	102
1091	112
1092	106
1093	125
1094	110
1095	99
1096	112
1097	113
1098	113
1099	113
1100	121
1101	104
1102	109
1103	102
1104	88
1105	124
1106	123
1107	115
1108	91
1109	99
1110	94
1111	92
1112	84
1113	78
1114	83
1115	95
1116	107
1117	84
1118	78
1119	78
1120	84
1121	70
1122	76
1123	61
1124	79
1125	68
1126	58
1127	69
1128	53
1129	63
1130	60
1131	59
1132	42
1133	48
1134	40
1135	39
1136	38
1137	34
1138	18
1139	38
1140	34
1141	26
1142	32
1143	29
1144	28
1145	26
1146	23
1147	22
1148	22
1149	8
1150	22
1151	23
1152	11
1153	17
1154	12
1155	14
1156	19
1157	12
1158	11
1159	12
1160	7
1161	11
1162	10
1163	12
1164	8
1165	4
1166	13
1167	5
1168	7
1169	6
1170	5
1171	4
1172	5
1173	5
1174	1
1175	6
1176	7
1177	8
1178	6
1179	4
1180	4
1181	4
1182	3
1183	1
1184	7
1185	2
1186	3
1187	7
1188	3
1189	1
1190	3
1191	1
1192	5
1193	1
1194	1
1195	2
1196	2
