DeviceName	Стенд N 2
LTime	602,737174
KevPerCh	
NullEnCh	
	
Channel	Counts
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	1
67	1
68	0
69	0
70	0
71	0
72	1
73	1
74	1
75	1
76	1
77	1
78	0
79	0
80	0
81	0
82	2
83	3
84	9
85	10
86	19
87	35
88	24
89	44
90	52
91	58
92	93
93	73
94	94
95	100
96	99
97	107
98	115
99	165
100	149
101	159
102	196
103	292
104	330
105	398
106	478
107	520
108	569
109	563
110	584
111	514
112	402
113	368
114	349
115	296
116	242
117	209
118	200
119	213
120	168
121	164
122	191
123	162
124	204
125	196
126	222
127	205
128	212
129	221
130	199
131	226
132	234
133	222
134	243
135	228
136	241
137	264
138	225
139	265
140	271
141	292
142	276
143	244
144	277
145	275
146	277
147	309
148	320
149	314
150	291
151	302
152	310
153	312
154	282
155	311
156	330
157	327
158	296
159	345
160	354
161	332
162	329
163	300
164	318
165	337
166	347
167	328
168	340
169	356
170	330
171	370
172	324
173	341
174	338
175	334
176	349
177	356
178	364
179	354
180	350
181	342
182	358
183	349
184	329
185	351
186	375
187	333
188	363
189	285
190	322
191	320
192	317
193	284
194	321
195	305
196	271
197	305
198	298
199	311
200	280
201	294
202	306
203	282
204	274
205	264
206	289
207	270
208	246
209	263
210	237
211	282
212	272
213	274
214	271
215	285
216	302
217	272
218	299
219	299
220	339
221	263
222	267
223	308
224	306
225	295
226	301
227	296
228	282
229	301
230	299
231	306
232	323
233	312
234	349
235	316
236	338
237	349
238	303
239	307
240	314
241	331
242	306
243	315
244	295
245	340
246	266
247	281
248	290
249	284
250	276
251	264
252	304
253	253
254	273
255	253
256	251
257	240
258	252
259	252
260	245
261	229
262	235
263	247
264	232
265	210
266	205
267	209
268	187
269	211
270	230
271	211
272	194
273	198
274	192
275	184
276	185
277	184
278	194
279	211
280	186
281	197
282	171
283	169
284	190
285	152
286	149
287	145
288	150
289	166
290	164
291	160
292	140
293	142
294	144
295	143
296	123
297	127
298	153
299	147
300	143
301	133
302	153
303	152
304	141
305	129
306	135
307	176
308	130
309	119
310	156
311	144
312	147
313	146
314	132
315	117
316	110
317	119
318	124
319	117
320	119
321	146
322	130
323	121
324	112
325	112
326	97
327	113
328	103
329	115
330	98
331	125
332	107
333	122
334	118
335	126
336	119
337	135
338	111
339	112
340	120
341	109
342	114
343	105
344	135
345	116
346	129
347	110
348	114
349	123
350	131
351	109
352	113
353	100
354	115
355	109
356	97
357	110
358	127
359	98
360	98
361	79
362	106
363	85
364	86
365	119
366	96
367	78
368	112
369	111
370	115
371	95
372	105
373	105
374	99
375	98
376	123
377	92
378	94
379	94
380	92
381	90
382	75
383	112
384	94
385	82
386	106
387	106
388	89
389	96
390	87
391	102
392	95
393	97
394	93
395	92
396	104
397	96
398	110
399	101
400	85
401	104
402	89
403	104
404	81
405	101
406	64
407	83
408	78
409	77
410	92
411	81
412	85
413	72
414	79
415	97
416	92
417	86
418	99
419	81
420	75
421	88
422	92
423	80
424	70
425	84
426	87
427	85
428	73
429	69
430	74
431	83
432	56
433	68
434	73
435	60
436	63
437	50
438	58
439	58
440	66
441	43
442	54
443	42
444	56
445	54
446	45
447	53
448	49
449	50
450	54
451	53
452	28
453	38
454	50
455	37
456	30
457	41
458	38
459	47
460	40
461	39
462	40
463	39
464	39
465	39
466	39
467	34
468	37
469	33
470	22
471	30
472	31
473	37
474	40
475	22
476	35
477	29
478	36
479	30
480	28
481	25
482	29
483	32
484	26
485	22
486	21
487	26
488	31
489	22
490	34
491	26
492	20
493	18
494	24
495	30
496	27
497	20
498	19
499	17
500	17
501	21
502	18
503	24
504	19
505	27
506	20
507	18
508	19
509	18
510	22
511	22
512	25
513	16
514	18
515	27
516	12
517	19
518	19
519	20
520	17
521	24
522	31
523	28
524	19
525	18
526	18
527	16
528	29
529	24
530	23
531	15
532	23
533	22
534	37
535	24
536	31
537	20
538	24
539	26
540	36
541	39
542	51
543	44
544	63
545	40
546	45
547	59
548	50
549	67
550	67
551	65
552	87
553	103
554	96
555	95
556	123
557	127
558	131
559	148
560	151
561	164
562	190
563	191
564	205
565	202
566	203
567	213
568	245
569	260
570	277
571	266
572	284
573	242
574	340
575	309
576	318
577	319
578	301
579	325
580	337
581	322
582	344
583	332
584	335
585	320
586	315
587	309
588	321
589	305
590	316
591	280
592	280
593	305
594	265
595	257
596	261
597	242
598	199
599	207
600	194
601	223
602	182
603	187
604	161
605	154
606	157
607	118
608	134
609	102
610	114
611	100
612	93
613	82
614	71
615	75
616	60
617	63
618	51
619	45
620	41
621	57
622	43
623	34
624	28
625	29
626	18
627	20
628	20
629	11
630	17
631	14
632	12
633	9
634	14
635	14
636	12
637	3
638	9
639	10
640	10
641	9
642	7
643	6
644	8
645	4
646	4
647	11
648	7
649	5
650	1
651	5
652	5
653	7
654	4
655	3
656	7
657	3
658	7
659	8
660	9
661	5
662	11
663	5
664	2
665	7
666	6
667	6
668	9
669	3
670	7
671	7
672	8
673	8
674	8
675	5
676	4
677	4
678	9
679	10
680	9
681	4
682	12
683	8
684	4
685	8
686	5
687	9
688	4
689	2
690	8
691	4
692	7
693	3
694	6
695	11
696	5
697	2
698	4
699	3
700	8
701	7
702	9
703	9
704	4
705	9
706	3
707	6
708	2
709	5
710	3
711	5
712	5
713	3
714	5
715	6
716	6
717	4
718	6
719	4
720	4
721	8
722	5
723	7
724	6
725	8
726	5
727	5
728	3
729	3
730	4
731	7
732	4
733	8
734	8
735	3
736	1
737	8
738	5
739	2
740	4
741	2
742	2
743	2
744	4
745	9
746	4
747	9
748	4
749	5
750	6
751	4
752	5
753	2
754	3
755	5
756	7
757	3
758	5
759	1
760	4
761	5
762	6
763	7
764	3
765	10
766	5
767	7
768	8
769	3
770	3
771	3
772	5
773	2
774	3
775	7
776	7
777	4
778	2
779	5
780	0
781	6
782	2
783	4
784	2
785	4
786	3
787	2
788	2
789	3
790	2
791	2
792	2
793	5
794	5
795	9
796	4
797	4
798	2
799	6
800	5
801	3
802	5
803	12
804	10
805	4
806	6
807	2
808	3
809	4
810	8
811	6
812	5
813	3
814	5
815	4
816	9
817	4
818	6
819	9
820	3
821	3
822	6
823	5
824	5
825	7
826	5
827	2
828	6
829	2
830	8
831	4
832	4
833	4
834	4
835	3
836	5
837	2
838	1
839	5
840	5
841	6
842	4
843	4
844	4
845	5
846	3
847	4
848	4
849	1
850	5
851	3
852	5
853	5
854	5
855	0
856	3
857	2
858	5
859	6
860	1
861	3
862	3
863	2
864	7
865	3
866	4
867	1
868	4
869	2
870	9
871	2
872	4
873	4
874	3
875	2
876	2
877	1
878	5
879	1
880	1
881	5
882	4
883	2
884	3
885	4
886	3
887	4
888	3
889	1
890	6
891	0
892	0
893	5
894	4
895	3
896	6
897	5
898	4
899	4
900	2
901	3
902	3
903	3
904	4
905	2
906	4
907	3
908	2
909	3
910	3
911	4
912	1
913	5
914	2
915	6
916	5
917	0
918	8
