DeviceName	Стенд N 4
LTime	602,294083
KevPerCh	
NullEnCh	
	
Channel	Counts
1	0
2	1
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	1
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	1
53	0
54	1
55	1
56	0
57	1
58	0
59	0
60	0
61	2
62	0
63	0
64	1
65	3
66	3
67	1
68	3
69	4
70	5
71	2
72	4
73	4
74	4
75	4
76	4
77	6
78	8
79	9
80	11
81	11
82	8
83	14
84	17
85	28
86	40
87	73
88	97
89	118
90	133
91	188
92	210
93	273
94	334
95	443
96	615
97	683
98	1029
99	1226
100	1535
101	1603
102	1574
103	1484
104	1257
105	1013
106	821
107	659
108	559
109	469
110	433
111	386
112	395
113	406
114	373
115	348
116	318
117	347
118	359
119	341
120	398
121	308
122	322
123	340
124	370
125	370
126	358
127	373
128	405
129	408
130	407
131	390
132	404
133	416
134	452
135	465
136	511
137	508
138	583
139	618
140	708
141	688
142	690
143	654
144	620
145	588
146	521
147	513
148	504
149	505
150	500
151	496
152	492
153	490
154	467
155	411
156	411
157	414
158	389
159	401
160	406
161	389
162	354
163	388
164	394
165	414
166	375
167	390
168	372
169	421
170	401
171	389
172	400
173	407
174	438
175	455
176	450
177	403
178	398
179	380
180	420
181	441
182	442
183	411
184	420
185	415
186	432
187	426
188	431
189	416
190	444
191	455
192	413
193	432
194	456
195	412
196	444
197	384
198	411
199	430
200	432
201	467
202	414
203	431
204	422
205	417
206	422
207	445
208	436
209	417
210	421
211	421
212	426
213	402
214	460
215	430
216	428
217	437
218	430
219	475
220	426
221	415
222	449
223	500
224	448
225	506
226	493
227	508
228	534
229	545
230	581
231	640
232	596
233	625
234	618
235	712
236	652
237	652
238	669
239	718
240	714
241	705
242	714
243	705
244	704
245	665
246	655
247	729
248	616
249	647
250	647
251	657
252	661
253	631
254	635
255	607
256	596
257	590
258	580
259	585
260	582
261	589
262	548
263	532
264	551
265	562
266	523
267	501
268	514
269	455
270	513
271	488
272	520
273	478
274	461
275	463
276	454
277	432
278	455
279	424
280	443
281	395
282	452
283	430
284	384
285	409
286	433
287	400
288	401
289	415
290	387
291	353
292	397
293	356
294	344
295	351
296	383
297	362
298	347
299	334
300	378
301	328
302	329
303	345
304	323
305	344
306	344
307	327
308	306
309	297
310	315
311	371
312	288
313	336
314	321
315	332
316	303
317	317
318	283
319	335
320	306
321	319
322	301
323	289
324	298
325	293
326	307
327	301
328	268
329	302
330	279
331	308
332	313
333	298
334	271
335	303
336	286
337	271
338	265
339	293
340	283
341	273
342	267
343	304
344	282
345	278
346	278
347	259
348	288
349	282
350	264
351	254
352	256
353	264
354	260
355	265
356	282
357	275
358	273
359	246
360	250
361	250
362	257
363	256
364	248
365	283
366	271
367	244
368	299
369	290
370	254
371	269
372	265
373	250
374	261
375	285
376	284
377	262
378	253
379	237
380	250
381	232
382	266
383	271
384	258
385	272
386	233
387	255
388	251
389	252
390	231
391	269
392	250
393	275
394	232
395	237
396	260
397	278
398	245
399	247
400	246
401	227
402	223
403	222
404	264
405	250
406	249
407	282
408	237
409	247
410	256
411	244
412	259
413	235
414	260
415	259
416	246
417	243
418	239
419	245
420	266
421	249
422	261
423	259
424	243
425	245
426	245
427	238
428	259
429	258
430	251
431	275
432	260
433	270
434	230
435	247
436	241
437	244
438	239
439	255
440	244
441	279
442	255
443	229
444	256
445	237
446	237
447	253
448	251
449	260
450	233
451	242
452	234
453	211
454	261
455	220
456	215
457	224
458	239
459	207
460	222
461	198
462	192
463	205
464	198
465	208
466	176
467	172
468	164
469	174
470	150
471	134
472	158
473	157
474	124
475	132
476	132
477	117
478	122
479	98
480	102
481	115
482	108
483	117
484	102
485	94
486	90
487	98
488	92
489	83
490	76
491	105
492	94
493	109
494	84
495	88
496	68
497	76
498	71
499	68
500	67
501	71
502	63
503	73
504	91
505	64
506	77
507	72
508	69
509	66
510	63
511	68
512	67
513	64
514	56
515	62
516	54
517	57
518	61
519	62
520	45
521	58
522	63
523	71
524	45
525	53
526	49
527	58
528	73
529	50
530	45
531	58
532	47
533	57
534	41
535	41
536	53
537	34
538	41
539	47
540	42
541	47
542	49
543	38
544	37
545	46
546	63
547	47
548	53
549	45
550	40
551	32
552	49
553	49
554	48
555	40
556	42
557	48
558	46
559	43
560	44
561	41
562	29
563	50
564	47
565	32
566	38
567	43
568	54
569	42
570	63
571	45
572	38
573	52
574	42
575	62
576	51
577	51
578	63
579	57
580	60
581	53
582	82
583	67
584	52
585	71
586	70
587	94
588	87
589	99
590	102
591	93
592	116
593	139
594	160
595	157
596	205
597	214
598	206
599	240
600	270
601	269
602	311
603	341
604	394
605	414
606	383
607	454
608	523
609	583
610	589
611	662
612	724
613	667
614	774
615	733
616	856
617	933
618	972
619	992
620	1106
621	1113
622	1205
623	1254
624	1342
625	1383
626	1399
627	1419
628	1462
629	1550
630	1485
631	1470
632	1581
633	1580
634	1541
635	1509
636	1530
637	1546
638	1526
639	1531
640	1415
641	1479
642	1438
643	1341
644	1307
645	1268
646	1195
647	1167
648	1048
649	973
650	1001
651	918
652	871
653	775
654	716
655	722
656	595
657	576
658	493
659	467
660	441
661	356
662	332
663	310
664	259
665	214
666	202
667	179
668	136
669	161
670	112
671	105
672	80
673	91
674	63
675	41
676	40
677	37
678	31
679	33
680	31
681	25
682	15
683	13
684	7
685	10
686	6
687	5
688	10
689	7
690	3
691	3
692	6
693	2
694	4
695	5
696	4
697	4
698	3
699	5
700	3
701	4
702	8
703	5
704	6
705	5
706	4
707	6
708	9
709	6
710	3
711	5
712	3
713	5
714	4
715	9
716	3
717	4
718	2
719	2
720	6
721	6
722	4
723	3
724	2
725	5
726	7
727	3
728	3
729	6
730	7
731	6
732	2
733	9
734	2
735	8
736	3
737	4
738	3
739	3
740	5
741	4
742	5
743	3
744	2
745	5
746	4
747	3
748	2
749	3
750	1
751	5
752	3
753	2
754	5
755	3
756	7
757	5
758	4
759	8
760	2
761	6
762	4
763	5
764	4
765	4
766	3
767	2
768	4
769	5
770	4
771	6
772	0
773	1
774	6
775	7
776	6
777	7
778	5
779	5
780	2
781	4
782	3
783	3
784	3
785	5
786	2
787	6
788	4
789	2
790	2
791	2
792	6
793	3
794	3
795	2
796	4
797	4
798	4
799	6
800	2
801	5
802	3
803	4
804	7
805	2
806	5
807	1
808	2
809	4
810	4
811	4
812	3
813	5
814	9
815	3
816	1
817	3
818	5
819	5
820	7
821	2
822	4
823	4
824	5
825	2
826	4
827	3
828	8
829	5
830	4
831	2
832	9
833	3
834	7
835	1
836	7
837	3
838	3
839	4
840	3
841	4
842	3
843	4
844	6
845	2
846	6
847	0
848	4
849	3
850	4
851	5
852	4
853	4
854	3
855	2
856	4
857	1
858	2
859	3
860	4
861	5
862	1
863	2
864	2
865	3
866	6
867	3
868	4
869	0
870	6
871	3
872	5
873	3
874	3
875	4
876	5
877	5
878	4
879	6
880	3
881	2
882	5
883	0
884	2
885	3
886	8
887	1
888	5
889	3
890	2
891	2
892	8
893	1
894	3
895	1
896	1
897	6
898	0
899	2
900	1
901	5
902	3
903	4
904	1
905	1
906	1
907	5
908	2
909	1
910	6
911	2
912	0
913	5
914	3
915	1
916	7
917	3
918	1
919	2
920	2
921	2
922	1
923	2
924	1
925	4
926	3
927	3
928	1
929	4
930	2
931	4
932	6
933	4
934	3
935	0
936	3
937	0
938	1
939	4
940	5
941	2
942	6
943	6
944	2
945	4
946	1
947	3
948	1
949	4
950	4
951	3
952	3
953	3
954	3
955	3
956	2
957	4
958	4
959	3
960	3
961	3
962	2
963	2
964	5
965	1
966	3
967	1
968	3
969	1
970	2
971	3
972	2
973	2
974	3
975	3
976	5
977	4
978	2
979	0
980	3
981	3
982	0
983	1
984	0
985	1
986	1
987	1
988	3
989	0
990	4
991	3
992	3
993	2
994	5
995	2
996	3
997	1
998	3
999	3
1000	1
1001	3
1002	3
1003	5
1004	4
1005	7
1006	2
1007	4
1008	1
1009	4
1010	4
1011	4
1012	0
1013	0
1014	2
1015	2
1016	3
1017	0
1018	1
1019	4
1020	3
1021	0
1022	1
1023	1
1024	0
1025	3
1026	1
1027	1
1028	3
1029	0
1030	1
1031	3
1032	4
1033	3
1034	5
1035	4
1036	0
1037	3
1038	2
1039	4
1040	5
1041	3
1042	1
1043	2
1044	2
1045	4
1046	1
1047	4
1048	3
1049	1
1050	2
1051	1
1052	3
1053	3
1054	5
1055	5
1056	4
1057	2
1058	2
1059	2
1060	0
1061	3
1062	3
1063	3
1064	2
1065	6
1066	3
1067	0
1068	4
1069	4
1070	2
1071	2
1072	5
1073	3
1074	1
1075	5
1076	2
1077	3
1078	0
1079	1
1080	3
1081	3
1082	3
1083	3
1084	2
1085	2
1086	2
1087	2
1088	1
1089	6
1090	0
1091	2
1092	2
1093	3
1094	3
1095	2
1096	0
1097	1
1098	3
1099	1
1100	3
1101	0
1102	5
1103	3
1104	2
1105	6
1106	2
1107	4
1108	2
1109	0
1110	0
1111	2
1112	1
1113	2
1114	2
1115	2
1116	1
1117	3
1118	3
1119	1
1120	2
1121	3
1122	0
1123	6
1124	2
1125	2
1126	4
1127	2
1128	1
1129	0
1130	0
1131	2
1132	0
1133	1
1134	2
1135	3
1136	1
1137	1
1138	1
1139	1
1140	1
1141	3
1142	1
1143	1
1144	2
1145	1
1146	0
1147	2
1148	2
1149	2
1150	3
1151	1
1152	1
1153	2
1154	3
1155	3
1156	0
1157	1
1158	3
1159	2
1160	0
1161	3
1162	1
1163	2
1164	0
1165	2
1166	3
1167	3
1168	1
1169	3
1170	1
1171	0
1172	1
1173	0
1174	1
1175	4
1176	1
1177	2
1178	1
1179	1
1180	3
1181	0
1182	3
1183	0
1184	2
1185	0
1186	0
1187	0
1188	2
1189	1
1190	1
1191	2
1192	0
1193	1
1194	1
1195	1
1196	2
1197	2
1198	3
1199	1
1200	1
1201	1
1202	3
1203	1
1204	1
1205	0
1206	3
1207	3
1208	1
1209	0
1210	3
1211	0
1212	0
1213	3
1214	3
1215	0
1216	0
1217	2
1218	1
1219	0
1220	0
1221	2
1222	0
1223	0
1224	0
1225	1
1226	2
1227	2
1228	3
1229	3
1230	0
1231	3
1232	2
1233	4
1234	2
1235	1
1236	5
1237	2
1238	1
1239	1
1240	3
1241	2
1242	0
1243	2
1244	0
1245	1
1246	3
1247	3
1248	1
1249	2
1250	3
1251	1
1252	2
1253	2
1254	0
1255	4
1256	2
1257	2
1258	2
1259	0
1260	1
1261	1
1262	1
1263	1
1264	4
1265	3
1266	0
1267	2
1268	1
1269	0
1270	2
1271	3
1272	0
1273	3
1274	1
1275	3
1276	3
1277	3
1278	3
1279	2
1280	2
1281	0
1282	2
1283	5
1284	2
1285	2
1286	2
1287	5
1288	5
1289	3
1290	0
1291	1
1292	1
1293	1
1294	2
1295	1
1296	3
1297	3
1298	3
1299	3
1300	3
1301	3
1302	2
1303	1
1304	4
1305	2
1306	4
1307	2
1308	3
1309	0
1310	3
1311	1
1312	4
1313	2
1314	4
1315	5
1316	5
1317	4
1318	3
1319	4
1320	4
1321	3
1322	2
1323	4
1324	2
1325	5
1326	1
1327	1
1328	4
1329	0
1330	5
1331	4
1332	3
1333	2
1334	3
1335	1
1336	3
1337	0
1338	1
1339	2
1340	4
1341	1
1342	4
1343	4
1344	2
1345	1
1346	0
1347	2
1348	2
1349	3
1350	4
1351	0
1352	1
1353	1
1354	3
1355	0
1356	3
1357	1
1358	0
1359	1
1360	0
1361	0
1362	1
1363	0
1364	0
1365	2
1366	1
1367	0
1368	2
1369	1
1370	1
1371	0
1372	1
1373	0
1374	2
1375	0
1376	2
1377	1
1378	0
1379	0
1380	1
1381	2
1382	2
1383	0
1384	1
1385	0
1386	0
1387	0
1388	1
1389	0
1390	2
1391	0
1392	0
1393	1
1394	0
1395	1
1396	1
1397	0
1398	2
1399	0
1400	0
1401	1
1402	0
1403	1
1404	1
1405	0
1406	0
1407	2
1408	1
1409	0
1410	1
1411	1
1412	0
1413	0
1414	0
1415	1
1416	0
1417	0
1418	3
1419	1
1420	0
1421	0
1422	0
1423	1
1424	0
1425	0
1426	2
1427	0
1428	0
1429	0
1430	0
1431	0
1432	1
1433	0
1434	0
1435	2
1436	1
1437	1
1438	0
1439	0
1440	1
1441	1
1442	0
1443	1
1444	1
1445	0
1446	0
1447	2
1448	0
1449	0
1450	2
1451	0
1452	1
1453	0
1454	0
1455	0
1456	1
1457	1
1458	0
1459	1
1460	0
1461	0
1462	0
1463	1
1464	0
1465	0
1466	0
1467	0
1468	1
1469	1
1470	0
1471	0
1472	1
1473	0
1474	0
1475	0
1476	0
1477	1
1478	0
1479	1
1480	0
1481	1
1482	0
1483	1
1484	2
1485	0
1486	0
1487	0
1488	0
1489	0
1490	0
1491	0
1492	1
1493	0
1494	2
1495	1
1496	0
1497	0
1498	1
1499	0
1500	1
1501	0
1502	1
1503	0
1504	0
1505	0
1506	1
1507	0
