DeviceName	Стенд N 2
LTime	602,27735
KevPerCh	
NullEnCh	
	
Channel	Counts
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	1
33	0
34	0
35	0
36	0
37	1
38	3
39	0
40	0
41	1
42	2
43	1
44	2
45	3
46	2
47	0
48	0
49	1
50	2
51	0
52	1
53	1
54	2
55	2
56	4
57	4
58	1
59	7
60	3
61	5
62	9
63	5
64	8
65	9
66	9
67	6
68	5
69	6
70	11
71	14
72	11
73	11
74	11
75	16
76	20
77	15
78	25
79	20
80	21
81	26
82	24
83	36
84	48
85	84
86	134
87	222
88	352
89	436
90	497
91	601
92	667
93	645
94	664
95	587
96	627
97	597
98	567
99	599
100	631
101	649
102	772
103	848
104	1023
105	1246
106	1524
107	2114
108	2744
109	3618
110	4476
111	5555
112	6891
113	7675
114	8358
115	9096
116	9217
117	8837
118	8049
119	7277
120	6092
121	5000
122	4225
123	3323
124	2497
125	2072
126	1547
127	1192
128	897
129	766
130	685
131	621
132	551
133	569
134	521
135	533
136	610
137	612
138	592
139	645
140	650
141	665
142	733
143	784
144	814
145	856
146	918
147	987
148	1098
149	1201
150	1227
151	1298
152	1328
153	1331
154	1390
155	1410
156	1393
157	1435
158	1410
159	1395
160	1316
161	1255
162	1230
163	1201
164	1247
165	1292
166	1286
167	1498
168	1622
169	1786
170	1988
171	2366
172	2578
173	2985
174	3297
175	3620
176	3821
177	4164
178	4249
179	4370
180	4367
181	4241
182	4070
183	3916
184	3409
185	3140
186	2795
187	2391
188	2072
189	1749
190	1493
191	1337
192	1136
193	997
194	889
195	850
196	775
197	759
198	765
199	795
200	746
201	729
202	741
203	764
204	714
205	744
206	768
207	751
208	716
209	755
210	824
211	790
212	764
213	766
214	762
215	765
216	658
217	725
218	735
219	652
220	681
221	658
222	647
223	588
224	585
225	585
226	581
227	557
228	507
229	535
230	514
231	551
232	560
233	480
234	554
235	475
236	487
237	514
238	479
239	468
240	496
241	479
242	520
243	461
244	490
245	472
246	486
247	492
248	527
249	472
250	534
251	529
252	498
253	537
254	531
255	566
256	569
257	678
258	650
259	618
260	626
261	679
262	714
263	704
264	705
265	749
266	769
267	800
268	749
269	732
270	781
271	755
272	734
273	689
274	683
275	615
276	646
277	656
278	549
279	580
280	499
281	531
282	470
283	471
284	452
285	383
286	386
287	431
288	352
289	346
290	342
291	319
292	311
293	324
294	348
295	309
296	293
297	292
298	326
299	285
300	285
301	292
302	301
303	289
304	292
305	279
306	255
307	261
308	277
309	288
310	307
311	304
312	275
313	287
314	280
315	280
316	321
317	341
318	317
319	360
320	333
321	362
322	391
323	402
324	415
325	442
326	456
327	516
328	592
329	552
330	614
331	625
332	686
333	754
334	799
335	801
336	797
337	859
338	892
339	895
340	973
341	949
342	908
343	952
344	969
345	905
346	947
347	914
348	900
349	891
350	891
351	826
352	785
353	771
354	697
355	675
356	602
357	542
358	506
359	485
360	451
361	446
362	399
363	412
364	331
365	300
366	336
367	315
368	265
369	278
370	242
371	206
372	229
373	204
374	205
375	176
376	224
377	177
378	175
379	178
380	168
381	171
382	145
383	186
384	187
385	188
386	165
387	177
388	167
389	179
390	186
391	164
392	186
393	186
394	172
395	172
396	177
397	197
398	187
399	175
400	167
401	176
402	168
403	189
404	191
405	175
406	175
407	166
408	163
409	175
410	162
411	165
412	202
413	176
414	170
415	164
416	171
417	167
418	149
419	161
420	144
421	161
422	150
423	149
424	177
425	150
426	147
427	138
428	143
429	145
430	156
431	116
432	158
433	138
434	150
435	118
436	151
437	123
438	120
439	119
440	115
441	124
442	126
443	148
444	114
445	134
446	151
447	120
448	137
449	122
450	136
451	102
452	119
453	105
454	123
455	116
456	117
457	106
458	115
459	116
460	142
461	114
462	115
463	128
464	105
465	116
466	95
467	93
468	111
469	103
470	118
471	118
472	117
473	121
474	107
475	107
476	104
477	109
478	112
479	117
480	113
481	101
482	98
483	106
484	93
485	102
486	99
487	104
488	109
489	107
490	119
491	108
492	89
493	96
494	97
495	110
496	117
497	133
498	101
499	88
500	100
501	109
502	91
503	99
504	96
505	105
506	120
507	99
508	106
509	104
510	107
511	107
512	102
513	97
514	104
515	102
516	83
517	101
518	94
519	99
520	97
521	98
522	90
523	85
524	91
525	96
526	87
527	88
528	85
529	89
530	95
531	100
532	83
533	100
534	94
535	108
536	93
537	87
538	90
539	85
540	85
541	83
542	83
543	86
544	98
545	74
546	92
547	72
548	78
549	75
550	74
551	76
552	78
553	79
554	93
555	78
556	88
557	75
558	84
559	76
560	80
561	77
562	74
563	74
564	74
565	98
566	85
567	102
568	84
569	88
570	85
571	66
572	75
573	75
574	88
575	96
576	86
577	73
578	82
579	87
580	89
581	87
582	71
583	74
584	87
585	91
586	86
587	82
588	81
589	92
590	82
591	75
592	94
593	85
594	87
595	85
596	86
597	89
598	81
599	75
600	86
601	86
602	92
603	89
604	77
605	92
606	79
607	82
608	99
609	84
610	78
611	110
612	63
613	99
614	85
615	81
616	82
617	71
618	81
619	78
620	69
621	79
622	84
623	85
624	75
625	82
626	80
627	96
628	80
629	100
630	81
631	88
632	81
633	82
634	82
635	90
636	69
637	89
638	94
639	84
640	88
641	78
642	87
643	115
644	90
645	74
646	96
647	85
648	104
649	118
650	98
651	106
652	108
653	109
654	123
655	131
656	109
657	125
658	97
659	121
660	141
661	113
662	124
663	135
664	131
665	149
666	128
667	133
668	143
669	123
670	151
671	124
672	124
673	119
674	123
675	132
676	110
677	128
678	138
679	115
680	116
681	119
682	125
683	125
684	101
685	100
686	108
687	133
688	118
689	95
690	98
691	100
692	90
693	87
694	106
695	85
696	98
697	88
698	80
699	97
700	85
701	93
702	72
703	89
704	81
705	80
706	98
707	79
708	64
709	83
710	70
711	78
712	67
713	68
714	77
715	72
716	75
717	53
718	73
719	59
720	61
721	74
722	83
723	64
724	73
725	68
726	60
727	70
728	71
729	74
730	67
731	79
732	75
733	82
734	60
735	58
736	65
737	81
738	72
739	68
740	75
741	67
742	62
743	66
744	61
745	59
746	51
747	56
748	67
749	69
750	57
751	65
752	55
753	59
754	57
755	60
756	53
757	43
758	52
759	49
760	48
761	47
762	55
763	58
764	61
765	43
766	57
767	49
768	48
769	56
770	55
771	44
772	48
773	52
774	52
775	58
776	60
777	50
778	62
779	52
780	55
781	59
782	72
783	69
784	57
785	50
786	65
787	56
788	79
789	55
790	54
791	75
792	72
793	58
794	78
795	63
796	70
797	82
798	87
799	69
800	72
801	87
802	77
803	84
804	70
805	67
806	71
807	76
808	89
809	86
810	94
811	78
812	87
813	69
814	72
815	84
816	86
817	82
818	69
819	90
820	77
821	79
822	77
823	95
824	79
825	80
826	62
827	76
828	72
829	72
830	64
831	74
832	71
833	52
834	57
835	70
836	67
837	54
838	48
839	63
840	70
841	56
842	53
843	71
844	53
845	44
846	51
847	47
848	43
849	44
850	34
851	42
852	33
853	39
854	37
855	34
856	45
857	52
858	35
859	44
860	44
861	48
862	35
863	36
864	40
865	52
866	25
867	40
868	48
869	52
870	46
871	42
872	48
873	34
874	44
875	54
876	51
877	45
878	49
879	44
880	38
881	56
882	62
883	47
884	58
885	48
886	45
887	61
888	60
889	84
890	70
891	78
892	46
893	73
894	70
895	67
896	68
897	74
898	48
899	74
900	89
901	77
902	83
903	62
904	86
905	79
906	103
907	90
908	90
909	100
910	92
911	86
912	99
913	94
914	99
915	99
916	62
917	84
918	91
919	90
920	99
921	83
922	104
923	75
924	96
925	86
926	87
927	89
928	95
929	98
930	82
931	86
932	99
933	97
934	85
935	83
936	65
937	76
938	76
939	72
940	74
941	73
942	65
943	74
944	61
945	57
946	78
947	70
948	61
949	58
950	58
951	40
952	40
953	55
954	42
955	57
956	45
957	47
958	50
959	50
960	43
961	43
962	43
963	36
964	34
965	34
966	41
967	35
968	34
969	35
970	39
971	41
972	26
973	34
974	32
975	28
976	27
977	27
978	24
979	20
980	25
981	21
982	25
983	27
984	23
985	17
986	23
987	19
988	21
989	25
990	13
991	14
992	19
993	16
994	16
995	15
996	19
997	17
998	24
999	20
1000	25
1001	12
1002	16
1003	13
1004	22
1005	20
1006	17
1007	9
1008	21
1009	20
1010	14
1011	8
1012	16
1013	11
1014	13
1015	16
1016	10
1017	19
1018	12
1019	16
1020	21
1021	15
1022	11
1023	14
1024	6
1025	16
1026	7
1027	13
1028	19
1029	13
1030	7
1031	10
1032	10
1033	16
1034	10
1035	14
1036	11
1037	8
1038	12
1039	10
1040	11
1041	8
1042	10
1043	8
1044	12
1045	12
1046	19
1047	17
1048	11
1049	12
1050	13
1051	11
1052	8
1053	17
1054	3
1055	8
1056	9
1057	13
1058	12
1059	11
1060	11
1061	13
1062	7
1063	12
1064	16
1065	12
1066	13
1067	11
1068	11
1069	11
1070	9
1071	14
1072	6
1073	10
1074	9
1075	12
1076	13
1077	4
1078	13
1079	12
1080	16
1081	12
1082	8
1083	8
1084	4
1085	11
1086	21
1087	4
1088	9
1089	9
1090	17
1091	14
1092	10
1093	12
1094	9
1095	9
1096	8
1097	17
1098	12
1099	12
1100	9
1101	11
1102	14
1103	9
1104	17
1105	14
1106	12
1107	16
1108	13
1109	14
1110	21
1111	13
1112	13
1113	14
1114	27
1115	19
1116	12
1117	13
1118	20
1119	19
1120	12
1121	28
1122	14
1123	34
1124	17
1125	12
