DeviceName	Стенд N 2
LTime	603,366281
KevPerCh	
NullEnCh	
	
Channel	Counts
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	1
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	1
61	0
62	0
63	0
64	1
65	0
66	0
67	1
68	0
69	0
70	0
71	0
72	1
73	1
74	0
75	0
76	0
77	0
78	1
79	1
80	0
81	1
82	3
83	6
84	14
85	10
86	17
87	33
88	33
89	51
90	48
91	65
92	81
93	74
94	85
95	92
96	116
97	92
98	119
99	122
100	110
101	121
102	140
103	132
104	149
105	141
106	142
107	140
108	169
109	155
110	169
111	144
112	161
113	159
114	154
115	166
116	144
117	153
118	148
119	151
120	181
121	200
122	148
123	162
124	188
125	169
126	181
127	206
128	207
129	196
130	239
131	224
132	228
133	260
134	252
135	232
136	262
137	248
138	237
139	265
140	273
141	253
142	290
143	291
144	289
145	284
146	309
147	294
148	284
149	295
150	341
151	290
152	298
153	279
154	314
155	311
156	331
157	328
158	337
159	314
160	340
161	297
162	343
163	322
164	324
165	320
166	333
167	335
168	344
169	347
170	332
171	367
172	354
173	357
174	363
175	335
176	332
177	343
178	359
179	308
180	353
181	314
182	304
183	337
184	327
185	317
186	283
187	332
188	298
189	308
190	283
191	285
192	303
193	310
194	284
195	273
196	296
197	322
198	298
199	277
200	282
201	303
202	294
203	313
204	343
205	308
206	316
207	275
208	299
209	317
210	290
211	309
212	310
213	312
214	317
215	330
216	327
217	316
218	349
219	332
220	341
221	345
222	332
223	345
224	330
225	317
226	347
227	319
228	297
229	339
230	309
231	294
232	317
233	301
234	311
235	306
236	288
237	308
238	291
239	288
240	259
241	271
242	255
243	252
244	287
245	247
246	242
247	236
248	251
249	202
250	254
251	271
252	231
253	244
254	255
255	227
256	232
257	243
258	225
259	233
260	219
261	213
262	224
263	212
264	198
265	250
266	207
267	223
268	199
269	189
270	200
271	206
272	185
273	177
274	191
275	170
276	181
277	199
278	191
279	147
280	160
281	160
282	183
283	185
284	172
285	177
286	176
287	163
288	173
289	187
290	165
291	153
292	175
293	160
294	140
295	136
296	143
297	141
298	140
299	150
300	134
301	151
302	142
303	157
304	147
305	148
306	135
307	137
308	152
309	149
310	128
311	127
312	125
313	106
314	142
315	133
316	126
317	141
318	139
319	127
320	110
321	116
322	106
323	122
324	94
325	117
326	135
327	110
328	120
329	111
330	103
331	122
332	97
333	97
334	102
335	92
336	103
337	92
338	84
339	96
340	87
341	98
342	91
343	80
344	77
345	84
346	79
347	64
348	76
349	74
350	65
351	64
352	62
353	69
354	63
355	62
356	50
357	56
358	70
359	61
360	59
361	61
362	57
363	71
364	65
365	66
366	74
367	50
368	73
369	55
370	45
371	56
372	60
373	44
374	39
375	66
376	56
377	39
378	46
379	58
380	51
381	53
382	52
383	51
384	45
385	53
386	36
387	44
388	62
389	39
390	44
391	45
392	44
393	57
394	37
395	39
396	46
397	46
398	48
399	58
400	40
401	51
402	33
403	43
404	48
405	53
406	48
407	45
408	46
409	32
410	46
411	42
412	44
413	43
414	47
415	40
416	47
417	51
418	49
419	43
420	50
421	42
422	55
423	53
424	51
425	63
426	77
427	55
428	81
429	68
430	58
431	72
432	82
433	90
434	121
435	107
436	119
437	128
438	130
439	147
440	148
441	175
442	153
443	205
444	204
445	243
446	228
447	273
448	276
449	267
450	299
451	309
452	352
453	370
454	372
455	384
456	383
457	394
458	449
459	398
460	411
461	418
462	394
463	389
464	410
465	410
466	407
467	386
468	385
469	360
470	352
471	341
472	313
473	314
474	320
475	315
476	283
477	273
478	216
479	224
480	212
481	193
482	186
483	185
484	141
485	130
486	136
487	125
488	120
489	88
490	75
491	80
492	76
493	65
494	66
495	57
496	41
497	53
498	39
499	37
500	48
501	27
502	42
503	33
504	37
505	32
506	33
507	30
508	26
509	19
510	30
511	25
512	23
513	24
514	26
515	27
516	17
517	20
518	19
519	24
520	34
521	20
522	21
523	21
524	17
525	25
526	16
527	19
528	17
529	21
530	26
531	22
532	15
533	23
534	25
535	20
536	26
537	16
538	15
539	28
540	19
541	22
542	13
543	22
544	11
545	21
546	21
547	21
548	23
549	19
550	29
551	21
552	32
553	18
554	29
555	21
556	22
557	21
558	30
559	20
560	21
561	24
562	24
563	22
564	18
565	29
566	20
567	23
568	23
569	16
570	22
571	18
572	32
573	21
574	24
575	20
576	26
577	23
578	26
579	20
580	29
581	18
582	28
583	21
584	17
585	23
586	19
587	25
588	26
589	20
590	23
591	19
592	19
593	22
594	22
595	24
596	24
597	24
598	22
599	25
600	12
601	13
602	19
603	11
604	15
605	20
606	24
607	22
608	22
609	11
610	26
611	16
612	13
613	15
614	21
615	14
616	12
617	11
618	23
619	8
620	24
621	16
622	25
623	19
624	15
625	20
626	24
627	22
628	17
629	11
630	16
631	16
632	19
633	22
634	16
635	11
636	19
637	14
638	19
639	20
640	15
641	23
642	23
643	28
644	20
645	11
646	13
647	10
648	20
649	25
650	31
651	22
652	11
653	19
654	26
655	14
656	19
657	14
658	18
659	22
